"rater_id","case_id","binary_data","nominal_data","ordinal_data","wordcount_data"
1,1,0,3,2,919
1,2,0,1,3,634
1,3,0,6,3,867
1,4,0,4,3,655
1,5,0,1,2,1061
1,6,0,8,5,757
1,7,0,4,4,1014
1,8,0,7,3,691
1,9,0,4,1,863
1,10,0,4,4,662
1,11,1,2,3,815
1,12,0,7,3,675
1,13,0,5,3,1075
1,14,0,2,5,950
1,15,0,5,5,780
1,16,0,3,4,693
1,17,1,10,3,530
1,18,1,3,4,1029
1,19,0,4,4,531
1,20,0,1,1,616
1,21,1,2,3,1004
1,22,0,7,2,848
1,23,0,6,3,681
1,24,0,8,4,1010
1,25,0,7,3,783
1,26,0,9,3,1028
1,27,0,4,3,722
1,28,0,10,2,513
1,29,0,10,4,746
1,30,0,1,2,659
1,31,0,4,2,719
1,32,1,2,3,942
1,33,0,10,1,677
1,34,0,7,4,761
1,35,0,3,3,812
1,36,0,1,4,854
1,37,0,1,2,789
1,38,0,6,3,834
1,39,0,7,3,1087
1,40,0,9,3,808
2,1,0,3,2,941
2,2,0,1,3,602
2,3,1,6,3,851
2,4,0,4,3,650
2,5,0,1,3,1083
2,6,0,8,5,757
2,7,0,4,4,991
2,8,1,7,2,732
2,9,0,4,1,903
2,10,0,4,4,646
2,11,1,2,3,828
2,12,0,6,3,702
2,13,0,5,3,1064
2,14,0,2,5,960
2,15,0,5,5,800
2,16,0,3,4,691
2,17,1,10,3,525
2,18,0,3,4,1001
2,19,0,8,4,516
2,20,1,1,1,600
2,21,0,2,3,993
2,22,0,7,2,850
2,23,0,6,3,681
2,24,0,8,4,1030
2,25,0,3,3,770
2,26,0,9,4,1050
2,27,0,4,3,735
2,28,0,10,2,510
2,29,0,10,4,778
2,30,0,1,3,663
2,31,0,4,2,751
2,32,0,2,1,942
2,33,0,10,1,679
2,34,1,7,4,751
2,35,0,3,3,781
2,36,0,1,3,864
2,37,0,1,1,785
2,38,0,6,3,827
2,39,1,7,3,1082
2,40,0,9,3,793
3,1,0,3,2,941
3,2,0,4,3,647
3,3,0,6,3,833
3,4,0,4,3,662
3,5,0,1,3,1065
3,6,0,8,5,754
3,7,0,4,4,998
3,8,0,7,3,710
3,9,0,4,1,904
3,10,0,4,4,645
3,11,1,4,3,814
3,12,0,7,3,672
3,13,0,5,3,1060
3,14,0,2,5,953
3,15,0,5,5,788
3,16,0,3,4,690
3,17,1,10,3,530
3,18,0,3,4,996
3,19,0,8,4,518
3,20,0,1,1,600
3,21,0,2,3,991
3,22,0,7,2,846
3,23,0,1,3,662
3,24,0,8,4,1077
3,25,0,7,2,789
3,26,0,9,4,1051
3,27,0,4,3,720
3,28,0,6,2,510
3,29,0,10,4,752
3,30,0,1,3,671
3,31,0,4,2,742
3,32,0,2,1,955
3,33,0,10,1,711
3,34,0,7,4,750
3,35,0,3,3,828
3,36,0,1,4,869
3,37,0,1,2,768
3,38,0,6,3,821
3,39,0,7,3,1079
3,40,0,9,3,822
4,1,0,3,2,959
4,2,0,2,3,622
4,3,0,6,3,858
4,4,0,4,3,689
4,5,0,1,3,1075
4,6,0,8,5,778
4,7,0,4,4,986
4,8,0,7,3,715
4,9,1,3,1,865
4,10,0,4,3,649
4,11,1,2,3,822
4,12,0,7,3,693
4,13,0,5,3,1037
4,14,1,2,5,958
4,15,0,5,5,808
4,16,0,3,4,677
4,17,1,5,3,536
4,18,0,3,4,998
4,19,0,8,4,497
4,20,0,1,1,602
4,21,0,2,3,1022
4,22,0,7,2,862
4,23,1,6,3,681
4,24,0,8,2,1021
4,25,0,7,3,769
4,26,1,9,4,1015
4,27,0,4,3,703
4,28,0,10,3,532
4,29,0,10,4,746
4,30,0,1,3,689
4,31,0,4,2,752
4,32,0,2,1,922
4,33,0,10,1,662
4,34,0,7,4,762
4,35,0,3,3,801
4,36,0,1,4,869
4,37,0,1,2,804
4,38,0,4,2,819
4,39,1,7,3,1072
4,40,0,9,3,799
5,1,0,3,2,904
5,2,0,1,3,617
5,3,0,6,3,825
5,4,1,4,3,666
5,5,0,1,3,1069
5,6,0,8,5,782
5,7,0,2,3,1017
5,8,0,7,3,700
5,9,0,4,2,913
5,10,0,4,4,667
5,11,0,2,2,828
5,12,0,7,3,721
5,13,0,5,3,1070
5,14,1,2,5,943
5,15,0,5,5,811
5,16,0,3,4,680
5,17,0,10,3,530
5,18,0,3,4,1007
5,19,0,8,4,516
5,20,0,1,3,639
5,21,0,2,3,993
5,22,0,7,2,827
5,23,0,6,3,692
5,24,0,8,4,1065
5,25,0,7,3,762
5,26,0,4,4,1056
5,27,0,4,3,696
5,28,1,10,2,527
5,29,0,10,4,745
5,30,0,1,3,658
5,31,0,4,2,775
5,32,0,2,1,942
5,33,0,10,1,679
5,34,0,7,4,773
5,35,0,3,3,799
5,36,0,1,4,880
5,37,0,1,2,793
5,38,0,6,3,814
5,39,0,7,3,1082
5,40,0,9,3,793
